Frequency (Hz) - Voltage (Power Spectrum),Amplitude - Voltage (Power Spectrum)
0,-22.903173
0.1,-62.494225
0.2,-66.50206
0.3,-67.287158
0.4,-67.307331
0.5,-67.98462
0.6,-68.137929
0.7,-68.315553
0.8,-67.939114
0.9,-68.441206
1,-68.293038
1.1,-68.146558
1.2,-68.401979
1.3,-68.501754
1.4,-68.682329
1.5,-68.585491
1.6,-68.500012
1.7,-68.408394
1.8,-68.40294
1.9,-68.23133
2,-68.206502
2.1,-68.593531
2.2,-68.455413
2.3,-68.142613
2.4,-68.19543
2.5,-68.68887
2.6,-68.45451
2.7,-68.384822
2.8,-68.300626
2.9,-68.446127
3,-67.845927
3.1,-68.007125
3.2,-68.352994
3.3,-68.031709
3.4,-68.588391
3.5,-68.449035
3.6,-68.276754
3.7,-68.168939
3.8,-67.992364
3.9,-68.667026
4,-68.047414
4.1,-67.754222
4.2,-67.721058
4.3,-68.171032
4.4,-68.296106
4.5,-68.255238
4.6,-68.039396
4.7,-68.596243
4.8,-68.229196
4.9,-68.252615
5,-68.11995
5.1,-67.832073
5.2,-68.032897
5.3,-68.098652
5.4,-68.090884
5.5,-68.284164
5.6,-68.044938
5.7,-67.90093
5.8,-67.769691
5.9,-67.797661
6,-67.926545
6.1,-68.166602
6.2,-68.154563
6.3,-67.886841
6.4,-67.937937
6.5,-67.863208
6.6,-68.119852
6.7,-67.939374
6.8,-68.282258
6.9,-67.943404
7,-67.913111
7.1,-67.591206
7.2,-67.525261
7.3,-67.647043
7.4,-67.628622
7.5,-67.600719
7.6,-67.51558
7.7,-67.45962
7.8,-67.710494
7.9,-67.485871
8,-67.318481
8.1,-67.360884
8.2,-67.603292
8.3,-67.484062
8.4,-67.377424
8.5,-67.433884
8.6,-67.603438
8.7,-67.631026
8.8,-67.507144
8.9,-67.255678
9,-67.548021
9.1,-67.41771
9.2,-67.180587
9.3,-67.162156
9.4,-67.562777
9.5,-67.426117
9.6,-67.285194
9.7,-67.453697
9.8,-67.011163
9.9,-67.025256
10,-67.321059
10.1,-67.120253
10.2,-66.982693
10.3,-67.051083
10.4,-66.826348
10.5,-67.043562
10.6,-66.881046
10.7,-66.851062
10.8,-66.694699
10.9,-66.797646
11,-66.899311
11.1,-66.633423
11.2,-66.724315
11.3,-66.77461
11.4,-66.735528
11.5,-66.66453
11.6,-66.623998
11.7,-66.492484
11.8,-66.771439
11.9,-66.598289
12,-66.583294
12.1,-66.480379
12.2,-66.516412
12.3,-66.513114
12.4,-66.716689
12.5,-66.40143
12.6,-66.057078
12.7,-66.262464
12.8,-66.491813
12.9,-66.319213
13,-66.320539
13.1,-66.138378
13.2,-66.143298
13.3,-66.263604
13.4,-66.08099
13.5,-66.142721
13.6,-66.237281
13.7,-65.795876
13.8,-65.916872
13.9,-66.029011
14,-65.643808
14.1,-65.987355
14.2,-65.798564
14.3,-66.094288
14.4,-65.737396
14.5,-65.743498
14.6,-65.577891
14.7,-65.620436
14.8,-65.663889
14.9,-65.70441
15,-65.728199
15.1,-65.464907
15.2,-65.290158
15.3,-65.059067
15.4,-65.47162
15.5,-65.211157
15.6,-65.071778
15.7,-65.184911
15.8,-65.103734
15.9,-65.149124
16,-65.07675
16.1,-64.972785
16.2,-64.779513
16.3,-64.72183
16.4,-64.774308
16.5,-64.737563
16.6,-64.600091
16.7,-64.820099
16.8,-64.696102
16.9,-64.708176
17,-64.473002
17.1,-64.513233
17.2,-64.202966
17.3,-64.18139
17.4,-64.365765
17.5,-64.097179
17.6,-63.941965
17.7,-63.858311
17.8,-64.074623
17.9,-63.924266
18,-64.013373
18.1,-63.944872
18.2,-64.026847
18.3,-63.737868
18.4,-63.570702
18.5,-63.426514
18.6,-63.570805
18.7,-63.349506
18.8,-63.384716
18.9,-63.321126
19,-63.527121
19.1,-63.011009
19.2,-63.016874
19.3,-63.088003
19.4,-63.00075
19.5,-63.006463
19.6,-62.737824
19.7,-62.581084
19.8,-62.671466
19.9,-62.812103
20,-62.317817
20.1,-62.479596
20.2,-62.321743
20.3,-62.227385
20.4,-62.085795
20.5,-61.958827
20.6,-61.966399
20.7,-61.820521
20.8,-61.73667
20.9,-61.51509
21,-61.535101
21.1,-61.411166
21.2,-61.277423
21.3,-61.337912
21.4,-60.893617
21.5,-61.113415
21.6,-60.827164
21.7,-60.899025
21.8,-60.590009
21.9,-60.545041
22,-60.448234
22.1,-60.367831
22.2,-60.294543
22.3,-60.011657
22.4,-60.068528
22.5,-60.386383
22.6,-59.476947
22.7,-59.593712
22.8,-59.420745
22.9,-59.26655
23,-59.191137
23.1,-59.084034
23.2,-58.805833
23.3,-58.686114
23.4,-58.591614
23.5,-58.357652
23.6,-58.43184
23.7,-58.207289
23.8,-58.02506
23.9,-57.856046
24,-57.708801
24.1,-57.535947
24.2,-57.310253
24.3,-57.156502
24.4,-56.980394
24.5,-56.783169
24.6,-56.65312
24.7,-56.439544
24.8,-56.136002
24.9,-55.988678
25,-55.747432
25.1,-55.494214
25.2,-55.253867
25.3,-54.999105
25.4,-54.772173
25.5,-54.486655
25.6,-54.314987
25.7,-53.954676
25.8,-53.685737
25.9,-53.425216
26,-53.106997
26.1,-52.738015
26.2,-52.360915
26.3,-52.085251
26.4,-51.671811
26.5,-51.281399
26.6,-50.852064
26.7,-50.383912
26.8,-49.91456
26.9,-49.513384
27,-48.968732
27.1,-48.461163
27.2,-47.899109
27.3,-47.338998
27.4,-46.687134
27.5,-46.034675
27.6,-45.305278
27.7,-44.478794
27.8,-43.532823
27.9,-42.498718
28,-41.390635
28.1,-40.190789
28.2,-38.954647
28.3,-37.706608
28.4,-36.456488
28.5,-35.316533
28.6,-34.497939
28.7,-34.19734
28.8,-34.660883
28.9,-36.280851
29,-39.110753
29.1,-41.40821
29.2,-41.646347
29.3,-42.319037
29.4,-43.239201
29.5,-44.130276
29.6,-44.952614
29.7,-45.830014
29.8,-46.457519
29.9,-47.215671
30,-47.936689
30.1,-48.498136
30.2,-49.192278
30.3,-49.819348
30.4,-50.338749
30.5,-50.801873
30.6,-51.154064
30.7,-51.723623
30.8,-52.297343
30.9,-52.624531
31,-53.052621
31.1,-53.398357
31.2,-53.742543
31.3,-54.075509
31.4,-54.392209
31.5,-54.79702
31.6,-54.997393
31.7,-55.390146
31.8,-55.589469
31.9,-55.831585
32,-56.080079
32.1,-56.406479
32.2,-56.723471
32.3,-56.999424
32.4,-57.093927
32.5,-57.481234
32.6,-57.598706
32.7,-57.76122
32.8,-58.023981
32.9,-58.172681
33,-58.52438
33.1,-58.568707
33.2,-58.7305
33.3,-58.911714
33.4,-59.242176
33.5,-59.422749
33.6,-59.482141
33.7,-59.738111
33.8,-59.968508
33.9,-60.157973
34,-60.366661
34.1,-60.418007
34.2,-60.615501
34.3,-60.882839
34.4,-61.013574
34.5,-61.127499
34.6,-61.244049
34.7,-61.297633
34.8,-61.415492
34.9,-61.555712
35,-61.951384
35.1,-62.16417
35.2,-62.159097
35.3,-62.446969
35.4,-62.502735
35.5,-62.706865
35.6,-62.830658
35.7,-62.755631
35.8,-62.835309
35.9,-63.263629
36,-63.13164
36.1,-63.45667
36.2,-63.60339
36.3,-63.766891
36.4,-63.751102
36.5,-63.981501
36.6,-64.185369
36.7,-64.170553
36.8,-64.136802
36.9,-64.228155
37,-64.703019
37.1,-64.47894
37.2,-64.773042
37.3,-64.74402
37.4,-65.004612
37.5,-65.116077
37.6,-65.22285
37.7,-65.298773
37.8,-65.268761
37.9,-65.493883
38,-65.464687
38.1,-65.63333
38.2,-65.823649
38.3,-66.009201
38.4,-66.188989
38.5,-66.282219
38.6,-66.18481
38.7,-66.427945
38.8,-66.565407
38.9,-66.284923
39,-66.757712
39.1,-66.466259
39.2,-66.652012
39.3,-67.224708
39.4,-67.135947
39.5,-67.356912
39.6,-66.849716
39.7,-67.528955
39.8,-67.232764
39.9,-67.321993
40,-67.597979
40.1,-67.9472
40.2,-67.788609
40.3,-67.901766
40.4,-67.959933
40.5,-67.783765
40.6,-67.83293
40.7,-68.077584
40.8,-68.400641
40.9,-68.240556
41,-68.46047
41.1,-68.548988
41.2,-68.502268
41.3,-68.406625
41.4,-68.654099
41.5,-69.012012
41.6,-68.784981
41.7,-68.926198
41.8,-69.236149
41.9,-69.05786
42,-68.802374
42.1,-68.952498
42.2,-69.52688
42.3,-69.332313
42.4,-69.40273
42.5,-69.657774
42.6,-69.694024
42.7,-70.186744
42.8,-69.431115
42.9,-69.48552
43,-70.346433
43.1,-70.020225
43.2,-69.917236
43.3,-70.265442
43.4,-69.574096
43.5,-70.156041
43.6,-70.372178
43.7,-70.086434
43.8,-71.235568
43.9,-70.699172
44,-70.452419
44.1,-70.43059
44.2,-70.514914
44.3,-71.150717
44.4,-70.867299
44.5,-70.460738
44.6,-70.876398
44.7,-70.833677
44.8,-70.999884
44.9,-70.873541
45,-70.857202
45.1,-71.204505
45.2,-71.839443
45.3,-71.706404
45.4,-70.925849
45.5,-71.459999
45.6,-71.681186
45.7,-71.323464
45.8,-72.246748
45.9,-71.521916
46,-71.898722
46.1,-72.086932
46.2,-72.06513
46.3,-71.93347
46.4,-71.534829
46.5,-72.150496
46.6,-72.717157
46.7,-72.023295
46.8,-72.042878
46.9,-72.116977
47,-72.250259
47.1,-72.42986
47.2,-72.724319
47.3,-72.131948
47.4,-72.66696
47.5,-72.682411
47.6,-72.616877
47.7,-72.904448
47.8,-72.580826
47.9,-73.062157
48,-73.219392
48.1,-73.212991
48.2,-72.889219
48.3,-72.405607
48.4,-73.937239
48.5,-73.091638
48.6,-73.860434
48.7,-73.054316
48.8,-73.856924
48.9,-74.167852
49,-73.859043
49.1,-73.658058
49.2,-73.864216
49.3,-72.984087
49.4,-73.7837
49.5,-73.491792
49.6,-73.118582
49.7,-74.195465
49.8,-74.359912
49.9,-73.426845
50,-74.14774
50.1,-73.991961
50.2,-73.911877
50.3,-73.720792
50.4,-74.082077
50.5,-74.082305
50.6,-74.813044
50.7,-76.188616
50.8,-74.745566
50.9,-74.629498
51,-74.086584
51.1,-73.781838
51.2,-74.53989
51.3,-74.485521
51.4,-74.686102
51.5,-74.841669
51.6,-74.356822
51.7,-75.169078
51.8,-74.86188
51.9,-75.205967
52,-74.389195
52.1,-75.077436
52.2,-75.296817
52.3,-75.654929
52.4,-74.384814
52.5,-75.062809
52.6,-75.48284
52.7,-75.484087
52.8,-75.536919
52.9,-75.71003
53,-75.487003
53.1,-75.669431
53.2,-76.00796
53.3,-76.292656
53.4,-76.337191
53.5,-76.127251
53.6,-75.715029
53.7,-76.451006
53.8,-75.576302
53.9,-75.827936
54,-76.727178
54.1,-75.669658
54.2,-75.50921
54.3,-76.14247
54.4,-76.845356
54.5,-76.215154
54.6,-76.892375
54.7,-76.220428
54.8,-77.243628
54.9,-76.939248
55,-75.129861
55.1,-77.345254
55.2,-76.795385
55.3,-77.666021
55.4,-77.684476
55.5,-76.72708
55.6,-78.60886
55.7,-77.211844
55.8,-77.192494
55.9,-77.97859
56,-78.637622
56.1,-77.963731
56.2,-78.211335
56.3,-81.226663
56.4,-79.057308
56.5,-80.335622
56.6,-79.690877
56.7,-81.7597
56.8,-84.518956
56.9,-85.296208
57,-86.523118
57.1,-91.331893
57.2,-87.443337
57.3,-88.612374
57.4,-82.274415
57.5,-81.116315
57.6,-80.674559
57.7,-79.972589
57.8,-79.255495
57.9,-78.37422
58,-78.129589
58.1,-80.152561
58.2,-78.445906
58.3,-77.140493
58.4,-79.413141
58.5,-77.440594
58.6,-77.622318
58.7,-76.971888
58.8,-77.042889
58.9,-78.059536
59,-77.900302
59.1,-77.501859
59.2,-77.530515
59.3,-77.003945
59.4,-78.210505
59.5,-77.078264
59.6,-77.996037
59.7,-76.86556
59.8,-78.421927
59.9,-77.468022
60,-78.101765
60.1,-78.029004
60.2,-76.892355
60.3,-77.811455
60.4,-77.933697
60.5,-78.048581
60.6,-78.695278
60.7,-79.136512
60.8,-77.370541
60.9,-77.376994
61,-78.5012
61.1,-78.736143
61.2,-77.687578
61.3,-78.612383
61.4,-79.046404
61.5,-77.734549
61.6,-77.943783
61.7,-77.549315
61.8,-78.497673
61.9,-79.141612
62,-78.410305
62.1,-78.662761
62.2,-78.628811
62.3,-80.619043
62.4,-78.107351
62.5,-78.879548
62.6,-78.244362
62.7,-78.281893
62.8,-78.47828
62.9,-78.716404
63,-78.89156
63.1,-78.68571
63.2,-77.879279
63.3,-78.385216
63.4,-79.415442
63.5,-78.663942
63.6,-78.979685
63.7,-78.915271
63.8,-78.608245
63.9,-78.831834
64,-79.756899
64.1,-79.566682
64.2,-79.644288
64.3,-79.399964
64.4,-79.210571
64.5,-79.716747
64.6,-78.992513
64.7,-79.255162
64.8,-81.108524
64.9,-79.326325
65,-79.110806
65.1,-78.819776
65.2,-79.952413
65.3,-80.041739
65.4,-80.031642
65.5,-79.830679
65.6,-80.420878
65.7,-80.412588
65.8,-80.239804
65.9,-81.532896
66,-80.811985
66.1,-79.878929
66.2,-78.723044
66.3,-79.858363
66.4,-82.267713
66.5,-79.075146
66.6,-79.082936
66.7,-80.232693
66.8,-80.605609
66.9,-80.850085
67,-78.74099
67.1,-80.363216
67.2,-79.388931
67.3,-80.277469
67.4,-79.187097
67.5,-78.892084
67.6,-82.054499
67.7,-79.440087
67.8,-79.322988
67.9,-80.410866
68,-80.303479
68.1,-83.023485
68.2,-79.875445
68.3,-80.817895
68.4,-80.20688
68.5,-80.009924
68.6,-81.113646
68.7,-79.884136
68.8,-79.769277
68.9,-80.873296
69,-81.746323
69.1,-80.133269
69.2,-81.380797
69.3,-80.197794
69.4,-79.680923
69.5,-80.482305
69.6,-81.117587
69.7,-80.270684
69.8,-81.001019
69.9,-80.475936
70,-82.936608
70.1,-81.8131
70.2,-81.131821
70.3,-80.473046
70.4,-81.056694
70.5,-82.114601
70.6,-80.50361
70.7,-80.420373
70.8,-81.669401
70.9,-80.543519
71,-81.724514
71.1,-81.543833
71.2,-80.656896
71.3,-81.367253
71.4,-80.474782
71.5,-81.668165
71.6,-80.565275
71.7,-81.215471
71.8,-83.705951
71.9,-81.083141
72,-79.885318
72.1,-82.544721
72.2,-81.627264
72.3,-81.170497
72.4,-82.21111
72.5,-81.121269
72.6,-81.638982
72.7,-81.928117
72.8,-81.498365
72.9,-81.447832
73,-82.253777
73.1,-81.515903
73.2,-82.227342
73.3,-81.012611
73.4,-81.858189
73.5,-81.437987
73.6,-81.995032
73.7,-82.350713
73.8,-81.010514
73.9,-83.710514
74,-81.627176
74.1,-80.973341
74.2,-82.409833
74.3,-83.131243
74.4,-81.186983
74.5,-81.957652
74.6,-81.593849
74.7,-82.675592
74.8,-82.871599
74.9,-83.731663
75,-82.441053
75.1,-82.886136
75.2,-81.612276
75.3,-81.166206
75.4,-83.048499
75.5,-81.05813
75.6,-82.748462
75.7,-82.976646
75.8,-82.378996
75.9,-80.813187
76,-82.2878
76.1,-81.87935
76.2,-83.153138
76.3,-83.937907
76.4,-82.557936
76.5,-81.606046
76.6,-83.45717
76.7,-82.363581
76.8,-81.486362
76.9,-83.147684
77,-82.820562
77.1,-81.498413
77.2,-81.477555
77.3,-81.951336
77.4,-81.529872
77.5,-83.905851
77.6,-82.737394
77.7,-83.059474
77.8,-82.037423
77.9,-83.961604
78,-82.733975
78.1,-82.316725
78.2,-81.466662
78.3,-82.717183
78.4,-82.625497
78.5,-82.461881
78.6,-83.682604
78.7,-85.40765
78.8,-81.808651
78.9,-83.109431
79,-82.347741
79.1,-82.310911
79.2,-82.935558
79.3,-82.653783
79.4,-83.289548
79.5,-83.149941
79.6,-82.00759
79.7,-82.565339
79.8,-82.743305
79.9,-84.359739
80,-81.556122
80.1,-84.90215
80.2,-81.620362
80.3,-83.486512
80.4,-84.950758
80.5,-82.585879
80.6,-82.940185
80.7,-83.370122
80.8,-84.379042
80.9,-85.655208
81,-84.176282
81.1,-83.578
81.2,-83.708538
81.3,-84.595919
81.4,-87.165502
81.5,-82.953981
81.6,-83.054939
81.7,-85.433812
81.8,-81.970318
81.9,-83.592084
82,-85.16211
82.1,-83.858215
82.2,-85.062332
82.3,-82.833046
82.4,-84.064402
82.5,-86.425996
82.6,-84.98646
82.7,-86.811501
82.8,-83.883314
82.9,-84.807628
83,-84.739493
83.1,-86.135954
83.2,-85.175508
83.3,-85.003304
83.4,-83.188961
83.5,-83.985036
83.6,-84.041207
83.7,-84.405466
83.8,-84.102163
83.9,-85.024019
84,-84.494729
84.1,-86.195098
84.2,-84.470065
84.3,-85.00211
84.4,-84.615048
84.5,-85.629707
84.6,-84.929095
84.7,-83.11505
84.8,-82.352597
84.9,-84.9541
85,-85.097557
85.1,-84.599014
85.2,-84.201708
85.3,-86.07704
85.4,-85.700002
85.5,-86.227496
85.6,-84.787273
85.7,-84.235362
85.8,-83.884965
85.9,-84.636699
86,-85.281787
86.1,-85.223053
86.2,-85.264451
86.3,-86.878665
86.4,-82.45043
86.5,-81.705902
86.6,-85.42979
86.7,-91.544181
86.8,-84.95657
86.9,-84.290894
87,-84.883105
87.1,-82.634087
87.2,-86.393397
87.3,-85.064163
87.4,-84.793125
87.5,-83.541021
87.6,-84.51833
87.7,-85.998166
87.8,-85.309824
87.9,-82.595694
88,-86.695979
88.1,-84.300924
88.2,-83.229429
88.3,-86.151296
88.4,-84.897672
88.5,-85.399325
88.6,-82.921118
88.7,-83.259803
88.8,-85.473607
88.9,-83.580831
89,-85.145917
89.1,-85.854301
89.2,-83.319676
89.3,-85.261184
89.4,-82.551236
89.5,-85.987642
89.6,-82.086276
89.7,-85.123782
89.8,-87.277667
89.9,-85.712698
90,-84.576267
90.1,-84.948867
90.2,-83.848028
90.3,-85.686735
90.4,-86.9555
90.5,-85.336015
90.6,-83.975116
90.7,-86.842103
90.8,-84.727632
90.9,-85.335888
91,-85.89485
91.1,-86.891732
91.2,-84.718566
91.3,-84.544516
91.4,-85.147884
91.5,-84.541278
91.6,-88.268112
91.7,-84.142213
91.8,-84.828252
91.9,-86.473459
92,-85.445861
92.1,-84.42911
92.2,-84.867766
92.3,-82.812974
92.4,-84.663176
92.5,-86.0353
92.6,-84.651923
92.7,-89.710902
92.8,-87.601076